date,Team_Name,Average_Age
11/8/21,SACRAMENTO KINGS,26.34
11/8/21,SAN ANTONIO SPURS,25.68
11/8/21,TORONTO RAPTORS,25.26
11/8/21,UTAH JAZZ,28.63
11/8/21,WASHINGTON WIZARDS,26.35
11/9/21,ATLANTA HAWKS,27.12
11/9/21,BOSTON CELTICS,26.06
11/9/21,BROOKLYN NETS,30.02
11/9/21,CHARLOTTE HORNETS,26
11/9/21,CHICAGO BULLS,25.68
11/9/21,CLEVELAND CAVALIERS,25.13
11/9/21,DALLAS MAVERICKS,27.1
11/9/21,DENVER NUGGETS,27.8
11/9/21,DETROIT PISTONS,24.62
11/9/21,GOLDEN STATE WARRIORS,28.58
11/9/21,HOUSTON ROCKETS,25.42
11/9/21,INDIANA PACERS,27.01
11/9/21,LOS ANGELES CLIPPERS,28.38
11/9/21,LOS ANGELES LAKERS,32.07
11/9/21,MEMPHIS GRIZZLIES,23.97
11/9/21,MIAMI HEAT,29.03
11/9/21,MILWAUKEE BUCKS,27.79
11/9/21,MINNESOTA TIMBERWOLVES,24.56
11/9/21,NEW ORLEANS PELICANS,25.65
11/9/21,NEW YORK KNICKS,26.95
11/9/21,OKLAHOMA CITY THUNDER,23.6
11/9/21,ORLANDO MAGIC,24.47
11/9/21,PHILADELPHIA 76ERS,26.15
11/9/21,PHOENIX SUNS,27.58
11/9/21,PORTLAND TRAIL BLAZERS,27.62
11/9/21,SACRAMENTO KINGS,26.34
11/9/21,SAN ANTONIO SPURS,25.68
11/9/21,TORONTO RAPTORS,25.26
11/9/21,UTAH JAZZ,28.63
11/9/21,WASHINGTON WIZARDS,26.35
11/10/21,ATLANTA HAWKS,27.12
11/10/21,BOSTON CELTICS,26.06
11/10/21,BROOKLYN NETS,30.02
11/10/21,CHARLOTTE HORNETS,26
11/10/21,CHICAGO BULLS,25.68
11/10/21,CLEVELAND CAVALIERS,25.13
11/10/21,DALLAS MAVERICKS,27.1
11/10/21,DENVER NUGGETS,27.8
11/10/21,DETROIT PISTONS,24.62
11/10/21,GOLDEN STATE WARRIORS,28.58
11/10/21,HOUSTON ROCKETS,25.42
11/10/21,INDIANA PACERS,27.01
11/10/21,LOS ANGELES CLIPPERS,28.38
11/10/21,LOS ANGELES LAKERS,32.07
11/10/21,MEMPHIS GRIZZLIES,23.97
11/10/21,MIAMI HEAT,29.03
11/10/21,MILWAUKEE BUCKS,27.79
11/10/21,MINNESOTA TIMBERWOLVES,24.56
11/10/21,NEW ORLEANS PELICANS,25.65
11/10/21,NEW YORK KNICKS,26.95
11/10/21,OKLAHOMA CITY THUNDER,23.6
11/10/21,ORLANDO MAGIC,24.47
11/10/21,PHILADELPHIA 76ERS,26.15
11/10/21,PHOENIX SUNS,27.58
11/10/21,PORTLAND TRAIL BLAZERS,27.62
11/10/21,SACRAMENTO KINGS,26.34
11/10/21,SAN ANTONIO SPURS,25.68
11/10/21,TORONTO RAPTORS,25.26
11/10/21,UTAH JAZZ,28.63
11/10/21,WASHINGTON WIZARDS,26.35
11/11/21,ATLANTA HAWKS,27.12
11/11/21,BOSTON CELTICS,26.06
11/11/21,BROOKLYN NETS,30.02
11/11/21,CHARLOTTE HORNETS,26
11/11/21,CHICAGO BULLS,25.68
11/11/21,CLEVELAND CAVALIERS,25.13
11/11/21,DALLAS MAVERICKS,27.1
11/11/21,DENVER NUGGETS,26.87
11/11/21,DETROIT PISTONS,24.62
11/11/21,GOLDEN STATE WARRIORS,27.91
11/11/21,HOUSTON ROCKETS,25.42
11/11/21,INDIANA PACERS,27.01
11/11/21,LOS ANGELES CLIPPERS,28.38
11/11/21,LOS ANGELES LAKERS,32.07
11/11/21,MEMPHIS GRIZZLIES,24.09
11/11/21,MIAMI HEAT,29.55
11/11/21,MILWAUKEE BUCKS,27.79
11/11/21,MINNESOTA TIMBERWOLVES,24.56
11/11/21,NEW ORLEANS PELICANS,25.65
11/11/21,NEW YORK KNICKS,26.95
11/11/21,OKLAHOMA CITY THUNDER,23.6
11/11/21,ORLANDO MAGIC,24.47
11/11/21,PHILADELPHIA 76ERS,26.15
11/11/21,PHOENIX SUNS,27.58
11/11/21,PORTLAND TRAIL BLAZERS,27.62
11/11/21,SACRAMENTO KINGS,25.79
11/11/21,SAN ANTONIO SPURS,25.68
11/11/21,TORONTO RAPTORS,25.26
11/11/21,UTAH JAZZ,28.63
11/11/21,WASHINGTON WIZARDS,26.35
11/14/21,ATLANTA HAWKS,27.12
11/14/21,BOSTON CELTICS,26.06
11/14/21,BROOKLYN NETS,30.02
11/14/21,CHARLOTTE HORNETS,26
11/14/21,CHICAGO BULLS,25.55
11/14/21,CLEVELAND CAVALIERS,25.13
11/14/21,DALLAS MAVERICKS,27.1
11/14/21,DENVER NUGGETS,26.87
11/14/21,DETROIT PISTONS,24.62
11/14/21,GOLDEN STATE WARRIORS,27.91
11/14/21,HOUSTON ROCKETS,25.42
11/14/21,INDIANA PACERS,27.01
11/14/21,LOS ANGELES CLIPPERS,28.38
11/14/21,LOS ANGELES LAKERS,32.07
11/14/21,MEMPHIS GRIZZLIES,24.09
11/14/21,MIAMI HEAT,29.55
11/14/21,MILWAUKEE BUCKS,27.79
11/14/21,MINNESOTA TIMBERWOLVES,24.56
11/14/21,NEW ORLEANS PELICANS,25.65
11/14/21,NEW YORK KNICKS,26.95
11/14/21,OKLAHOMA CITY THUNDER,23.6
11/14/21,ORLANDO MAGIC,24.47
11/14/21,PHILADELPHIA 76ERS,26.15
11/14/21,PHOENIX SUNS,27.58
11/14/21,PORTLAND TRAIL BLAZERS,27.62
11/14/21,SACRAMENTO KINGS,25.79
11/14/21,SAN ANTONIO SPURS,25.68
11/14/21,TORONTO RAPTORS,25.26
11/14/21,UTAH JAZZ,28.63
11/14/21,WASHINGTON WIZARDS,26.58
11/15/21,ATLANTA HAWKS,27.12
11/15/21,BOSTON CELTICS,26.06
11/15/21,BROOKLYN NETS,30.02
11/15/21,CHARLOTTE HORNETS,26
11/15/21,CHICAGO BULLS,25.55
11/15/21,CLEVELAND CAVALIERS,25.13
11/15/21,DALLAS MAVERICKS,27.1
11/15/21,DENVER NUGGETS,26.87
11/15/21,DETROIT PISTONS,24.62
11/15/21,GOLDEN STATE WARRIORS,27.91
11/15/21,HOUSTON ROCKETS,25.42
11/15/21,INDIANA PACERS,27.01
11/15/21,LOS ANGELES CLIPPERS,28.38
11/15/21,LOS ANGELES LAKERS,31.22
11/15/21,MEMPHIS GRIZZLIES,24.09
11/15/21,MIAMI HEAT,29.55
11/15/21,MILWAUKEE BUCKS,27.79
11/15/21,MINNESOTA TIMBERWOLVES,24.56
11/15/21,NEW ORLEANS PELICANS,25.65
11/15/21,NEW YORK KNICKS,26.95
11/15/21,OKLAHOMA CITY THUNDER,23.55
11/15/21,ORLANDO MAGIC,24.47
11/15/21,PHILADELPHIA 76ERS,26.15
11/15/21,PHOENIX SUNS,27.58
11/15/21,PORTLAND TRAIL BLAZERS,27.62
11/15/21,SACRAMENTO KINGS,25.79
11/15/21,SAN ANTONIO SPURS,25.68
11/15/21,TORONTO RAPTORS,25.26
11/15/21,UTAH JAZZ,28.63
11/15/21,WASHINGTON WIZARDS,26.58
11/16/21,ATLANTA HAWKS,27.12
11/16/21,BOSTON CELTICS,26.06
11/16/21,BROOKLYN NETS,30.02
11/16/21,CHARLOTTE HORNETS,26
11/16/21,CHICAGO BULLS,25.28
11/16/21,CLEVELAND CAVALIERS,25.13
11/16/21,DALLAS MAVERICKS,27.1
11/16/21,DENVER NUGGETS,26.52
11/16/21,DETROIT PISTONS,24.62
11/16/21,GOLDEN STATE WARRIORS,27.91
11/16/21,HOUSTON ROCKETS,25.42
11/16/21,INDIANA PACERS,27.01
11/16/21,LOS ANGELES CLIPPERS,28.38
11/16/21,LOS ANGELES LAKERS,31.22
11/16/21,MEMPHIS GRIZZLIES,24.09
11/16/21,MIAMI HEAT,29.04
11/16/21,MILWAUKEE BUCKS,27.79
11/16/21,MINNESOTA TIMBERWOLVES,24.56
11/16/21,NEW ORLEANS PELICANS,25.65
11/16/21,NEW YORK KNICKS,26.95
11/16/21,OKLAHOMA CITY THUNDER,23.55
11/16/21,ORLANDO MAGIC,24.47
11/16/21,PHILADELPHIA 76ERS,26.15
11/16/21,PHOENIX SUNS,27.58
11/16/21,PORTLAND TRAIL BLAZERS,27.62
11/16/21,SACRAMENTO KINGS,25.79
11/16/21,SAN ANTONIO SPURS,25.68
11/16/21,TORONTO RAPTORS,25.26
11/16/21,UTAH JAZZ,28.63
11/16/21,WASHINGTON WIZARDS,26.58
11/17/21,ATLANTA HAWKS,27.12
11/17/21,BOSTON CELTICS,26.06
11/17/21,BROOKLYN NETS,30.02
11/17/21,CHARLOTTE HORNETS,26
11/17/21,CHICAGO BULLS,25.28
11/17/21,CLEVELAND CAVALIERS,25.13
11/17/21,DALLAS MAVERICKS,27.1
11/17/21,DENVER NUGGETS,26.52
11/17/21,DETROIT PISTONS,24.62
11/17/21,GOLDEN STATE WARRIORS,27.91
11/17/21,HOUSTON ROCKETS,25.42
11/17/21,INDIANA PACERS,27.01
11/17/21,LOS ANGELES CLIPPERS,27.73
11/17/21,LOS ANGELES LAKERS,31.22
11/17/21,MEMPHIS GRIZZLIES,24.09
11/17/21,MIAMI HEAT,29.04
11/17/21,MILWAUKEE BUCKS,27.79
11/17/21,MINNESOTA TIMBERWOLVES,24.56
11/17/21,NEW ORLEANS PELICANS,25.65
11/17/21,NEW YORK KNICKS,26.95
11/17/21,OKLAHOMA CITY THUNDER,23.55
11/17/21,ORLANDO MAGIC,24.47
11/17/21,PHILADELPHIA 76ERS,26.15
11/17/21,PHOENIX SUNS,27.58
11/17/21,PORTLAND TRAIL BLAZERS,27.62
11/17/21,SACRAMENTO KINGS,25.79
11/17/21,SAN ANTONIO SPURS,25.68
